country,city,income_id,advanced_thermal_treatment,anaerobic_digestion,compost,controlled_landfill,incineration,landfill_unspecified,open_dump,other,recycling,sanitary_landfill_landfill_gas_system,unaccounted_for,waterways_marine
India,Tirunelveli,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Amritsar,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Allahabad,LMC,NA,NA,28,NA,NA,NA,65.7,NA,NA,NA,6.3,NA
India,Greater Hyderabad Â ,LMC,NA,NA,44,10,NA,NA,NA,36,NA,NA,10,NA
India,Kochi,LMC,NA,NA,40.3,38,NA,NA,NA,NA,21.6,NA,0.1,NA
India,Leh,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Pune,LMC,NA,10.48,16.84,NA,NA,NA,50,10.89,11.17,NA,0.62,NA
India,Patna,LMC,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,35,NA
India,Jodhpur,LMC,NA,NA,24.7,NA,NA,NA,54,NA,NA,NA,21.3,NA
India,Nagpur,LMC,NA,NA,15,NA,NA,NA,81,NA,NA,NA,NA,NA
India,Shimla,LMC,NA,NA,NA,NA,NA,NA,NA,16,15,NA,69,NA
India,Rudrapur,LMC,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,8,NA
India,Bengaluru,LMC,NA,0.57,14.28,NA,NA,NA,70,NA,NA,NA,15.15,NA
India,Pimpri-Chinchwad,LMC,NA,NA,60.9,NA,NA,NA,NA,0.2,18.8,20,0.1,NA
India,Kanpur,LMC,NA,NA,46.66,NA,35,NA,NA,NA,8,NA,10.34,NA
India,Rajkot,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Tenali,LMC,NA,2.1,1.05,NA,NA,NA,90,NA,3.7,NA,3.15,NA
India,Lucknow,LMC,NA,NA,23,NA,NA,NA,60,15,NA,NA,2,NA
India,Ludhiana,LMC,NA,NA,NA,NA,NA,NA,45,55,NA,NA,NA,NA
India,Tadipatri,LMC,NA,NA,70,NA,NA,NA,30,NA,NA,NA,NA,NA
India,Bhopal,LMC,NA,0.75,21.1,NA,NA,NA,NA,NA,NA,NA,78.15,NA
India,Faridabad,LMC,NA,NA,36.7,NA,NA,NA,NA,NA,NA,NA,42.4,NA
India,Cuttack,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Ahmedabad,LMC,NA,NA,36.4,NA,NA,NA,NA,NA,15,49,NA,NA
India,Itanagar,LMC,NA,NA,62.5,NA,NA,NA,12,NA,NA,NA,25.5,NA
India,Vishakhapatnam,LMC,NA,NA,NA,NA,NA,NA,97,NA,NA,NA,3,NA
India,Nashik,LMC,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,35,NA
India,Dhanbad,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,Delhi,LMC,NA,NA,7.8,NA,31.9,NA,13.3,8.3,15,NA,23.8,NA
India,Srinagar,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Ghaziabad,LMC,NA,NA,40,NA,NA,NA,60,NA,NA,NA,NA,NA
India,Imphal,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
India,Surat,LMC,NA,NA,23.5,NA,NA,NA,76,NA,NA,NA,0.5,NA
India,Vijaywada,LMC,NA,3.5,22,NA,NA,NA,74,NA,NA,NA,0.5,NA
India,Chennai,LMC,NA,NA,1,99,NA,NA,NA,NA,NA,NA,NA,NA
India,Indore,LMC,NA,NA,50,NA,NA,NA,25,25,NA,NA,NA,NA
India,Coimbatore,LMC,NA,0.1,53.4,NA,NA,NA,NA,NA,20,24,0.02,NA
India,Navi Mumbai,LMC,NA,NA,82,18,NA,NA,NA,NA,NA,NA,NA,NA
India,Greater Mumbai,LMC,NA,NA,NA,NA,NA,NA,54,45.53,NA,NA,0.47,NA
India,Guwahati,LMC,NA,NA,8.2,NA,NA,NA,75,NA,NA,NA,16.8,NA
India,GwaliorÂ ,LMC,NA,NA,39.5,NA,NA,NA,60,NA,NA,NA,0.5,NA
India,Bhubaneswar,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
India,Mysore,LMC,NA,NA,50,31,NA,NA,NA,NA,22,NA,17,NA
India,Warangal,LMC,NA,2,3.66,NA,NA,NA,93,NA,1.66,NA,NA,NA
Ireland,Dublin,HIC,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,51,NA
"Iran, Islamic Rep.",Tehran,UMC,NA,1.9,50,NA,2.5,NA,41.5,NA,4,NA,0.1,NA
Iraq,Baghdad,UMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Israel,Jerusalem,HIC,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,95,NA
Israel,Tel Aviv,HIC,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,89.4,NA
Italy,Parma,HIC,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,28,NA
Italy,Milano,HIC,NA,NA,NA,NA,44.6,NA,NA,6.8,49.9,NA,NA,NA
Jordan,Amman,UMC,NA,NA,NA,NA,NA,NA,10,NA,NA,90,NA,NA
Japan,Yokohama,HIC,NA,NA,NA,10.18,74.95,NA,NA,NA,25.543,NA,NA,NA
Japan,Kobe,HIC,NA,NA,NA,14.35,83.3,NA,NA,NA,14.89,NA,NA,NA
Japan,Osaka,HIC,NA,NA,NA,14.19,90.33,NA,NA,NA,9.67,NA,NA,NA
Japan,Naha,HIC,NA,0,0,3.82,89.09,NA,NA,0,15.01,NA,0,NA
Japan,Kitakyushu,HIC,NA,NA,NA,11.35,75.93,NA,NA,NA,25.38,NA,NA,NA
Japan,Toyama,HIC,NA,NA,0.44,7.94,76.16,NA,NA,NA,24.28,NA,NA,NA
Kazakhstan,Atyrau,UMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Kazakhstan,Kostanay,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA
Kenya,EldoretÂ ,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Kenya,Nairobi,LMC,NA,NA,NA,NA,NA,NA,33,NA,5,NA,62,NA
Kyrgyz Republic,Osh,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Kyrgyz Republic,Bishkek,LMC,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
Cambodia,Phnom Penh,LMC,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,99.85,NA
Kiribati,South Tarawa,LMC,NA,NA,NA,NA,NA,26,NA,38,1,NA,NA,35
"Korea, Rep.",Seoul,HIC,NA,NA,29,NA,8,NA,NA,NA,36,27,NA,NA
Kuwait,Kuwait City,HIC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,0.01,NA
Lao PDR,Vientiane,LMC,NA,NA,NA,50,NA,NA,NA,NA,10,NA,40,NA
Lebanon,Beirut,UMC,NA,NA,10,NA,NA,NA,NA,2,5,83,NA,NA
Lebanon,Saida,UMC,NA,50,10,NA,NA,NA,NA,7,20,NA,NA,13
Liberia,Monrovia,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Libya,Tripoli,UMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sri Lanka,Dehiwala Mt. Lavinia Municipal Council,LMC,NA,NA,0.5,NA,NA,NA,92.2,NA,3.4,NA,3.9,NA
Sri Lanka,Kurunegala,LMC,NA,NA,2.7,NA,NA,NA,80.4,2.7,14.2,NA,NA,NA
Sri Lanka,Trincomalee,LMC,NA,NA,5.6,NA,NA,NA,61.5,28.7,4.1,NA,0.1,NA
Sri Lanka,Jaffna,LMC,NA,NA,5.9,NA,NA,NA,70.3,13.6,10.4,NA,0,NA
Sri Lanka,Moratuwa,LMC,NA,NA,14.2,48.6,NA,NA,NA,12.9,3.1,NA,21.2,NA
Sri Lanka,Colombo,LMC,NA,NA,0.97,NA,NA,NA,99,NA,NA,NA,0.03,NA
Lithuania,Vilnius,HIC,NA,NA,NA,64,NA,NA,NA,NA,36,NA,NA,NA
Lithuania,Kaunas,HIC,NA,NA,NA,87,NA,NA,NA,NA,13,NA,NA,NA
Latvia,Liepaja,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Latvia,Riga,HIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morocco,Rabat,LMC,NA,NA,NA,NA,NA,NA,NA,NA,3,97,NA,NA
Morocco,Tangier,LMC,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
Morocco,Beni Mellal,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,Soldanesti,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moldova,Chisinau,LMC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Madagascar,Antananarivo,LIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
